Student ID,Student Name,Course,Grade
28,Justin Conrad,COMPSCI 310,99
37,Simone Scott,COMPSCI 312,91
91,Donald Schultz,COMPSCI 321,87
19,Blair Heaton,COMPSCI 309,87
79,Kerys John,COMPSCI 319,87
64,Jameson Best,COMPSCI 316,86
73,Alys Mccormick,COMPSCI 318,85
97,Angus Navarro,COMPSCI 322,85
88,Kwame Mckenzie,COMPSCI 320,83
16,Allan Povey,COMPSCI 308,83
61,Antoine Cummings,COMPSCI 316,83
25,Angelina Shepard,COMPSCI 310,82
4,Elsie Medina,COMPSCI 306,81
76,Simran Hahn,COMPSCI 318,80
10,Darrell Newton,COMPSCI 307,79
43,Priyanka Nieves,COMPSCI 313,79
100,Simeon Rowley,COMPSCI 322,78
52,Eloisa Serrano,COMPSCI 314,76
34,Yassin Mcintyre,COMPSCI 311,74
22,Joy Ayers,COMPSCI 309,74
49,Ihsan Burt,COMPSCI 314,74
94,Maiya Gallegos,COMPSCI 321,73
70,Tegan Fox,COMPSCI 317,72
67,Iqra Hodson,COMPSCI 317,72
46,Mitchell Duran,COMPSCI 313,71
85,Aamina Mclaughlin,COMPSCI 320,69
55,Kelsey Ware,COMPSCI 315,69
58,Arielle Pope,COMPSCI 315,67
1,Sacha Rich,COMPSCI 306,66
82,Braxton Colley,COMPSCI 319,66
40,Elize Robin,COMPSCI 312,65
7,Liyah Preece,COMPSCI 307,63
31,Aryaan Coates,COMPSCI 311,58
13,Luther Thornton,COMPSCI 308,53
