Student ID,Student Name,Course,Grade
89,Alison Murray,APMTH 134,93
59,Amber-Rose Austin,APMTH 129,93
68,Aran Rice,APMTH 131,89
44,Brandan Mcbride,APMTH 127,89
32,Veronica Dodd,APMTH 125,88
47,Abbi Perkins,APMTH 127,84
92,Safa Carrillo,APMTH 135,84
98,Milo Whittington,APMTH 136,81
65,Jemma Shannon,APMTH 130,81
56,Amanda Mathis,APMTH 129,80
26,Sara Stacey,APMTH 124,80
77,Landon Fields,APMTH 132,75
83,Ffion Jones,APMTH 133,75
86,Loretta Truong,APMTH 134,74
20,Howard Goldsmith,APMTH 123,74
14,Leia Browne,APMTH 122,73
80,Myra Bryant,APMTH 133,73
95,Desiree Rivers,APMTH 135,72
74,Randall Deacon,APMTH 132,72
53,Carwyn Decker,APMTH 128,71
11,Monty Bloom,APMTH 121,71
8,Penelope Brett,APMTH 121,69
71,Johnnie Murillo,APMTH 131,69
29,Hana Larson,APMTH 124,67
50,Husnain Hilton,APMTH 128,64
41,Corban Dorsey,APMTH 126,64
35,Rida Hanson,APMTH 125,63
38,Aine Bates,APMTH 126,62
23,Flynn Morton,APMTH 123,62
5,Emily Barber,APMTH 120,61
62,Avneet Melendez,APMTH 130,60
17,Eisa Grainger,APMTH 122,59
2,Tazmin Morse,APMTH 120,51
